	id	acousticness	danceability	duration_ms	energy	instrumentalness	key	liveness	loudness	speechiness	tempo	valence	genre
1477	Tomorrow	0.00853	0.632	228840	0.7929999999999999	0.0008900000000000001	6	0.157	-7.184	0.0274	136.012	0.609	rock
1478	Slipped Away	0.00274	0.449	214093	0.621	4.2000000000000004e-06	7	0.11699999999999999	-4.237	0.032	160.761	0.10300000000000001	rock
1479	Bad Girl	4.8599999999999995e-05	0.429	174893	0.934	7.48e-05	0	0.406	-3.293	0.131	158.042	0.322	rock
1480	Bigger Wow	0.068	0.754	175191	0.6809999999999999	0.0	6	0.0591	-4.846	0.0315	103.01100000000001	0.845	rock
1481	Take Me Away	0.0013800000000000002	0.511	177600	0.892	0.00029	4	0.198	-2.489	0.0343	99.101	0.255	rock
1482	Nobody's Fool	0.000942	0.49700000000000005	237333	0.877	0.0	4	0.127	-6.055	0.059000000000000004	89.98	0.45899999999999996	rock
1483	Runaway	7.06e-05	0.57	228507	0.937	0.34	0	0.0715	-2.0869999999999997	0.0555	134.974	0.6509999999999999	rock
1484	I Can Do Better	0.00443	0.436	195307	0.982	4.74e-05	7	0.723	-2.786	0.16699999999999998	172.084	0.272	rock
1485	Together	0.000346	0.435	194627	0.861	0.0857	7	0.228	-2.91	0.035	82.38600000000001	0.301	rock
1486	Remember When	0.0288	0.451	209187	0.5429999999999999	9.38e-06	0	0.0767	-6.079	0.0282	74.209	0.184	rock
1487	Mobile	0.00116	0.593	211933	0.726	0.00495	9	0.111	-6.011	0.0298	100.412	0.634	rock
1488	Naked	0.00361	0.518	208733	0.7559999999999999	0.0	4	0.0982	-6.156000000000001	0.035	81.91	0.504	rock
1489	Four to the Floor - Thin White Duke Mix; Short Version	0.00139	0.66	280489	0.74	0.0892	9	0.0907	-6.856	0.0344	123.00399999999999	0.62	rock
1490	Poor Misguided Fool	0.0651	0.639	231560	0.8190000000000001	1.28e-05	1	0.0565	-5.837000000000001	0.0277	116.432	0.96	rock
1491	Silence Is Easy	0.24	0.303	220427	0.9329999999999999	0.0	4	0.3	-5.627999999999999	0.0415	180.856	0.647	rock
1492	Tell Me It's Not Over	0.000454	0.47	203320	0.9420000000000001	3.75e-06	11	0.11800000000000001	-3.8760000000000003	0.0481	127.031	0.391	rock
1493	In the Crossfire	0.00183	0.263	198653	0.825	0.0	4	0.341	-4.409	0.0462	190.576	0.37	rock
1494	Good Souls	0.009859999999999999	0.33299999999999996	298347	0.8420000000000001	1.5e-06	2	0.133	-6.192	0.0389	151.925	0.5429999999999999	rock
1495	Some of Us	0.33299999999999996	0.494	217893	0.474	0.0	0	0.125	-7.711	0.0272	142.546	0.205	rock
1496	Listen to Your Heart	0.000401	0.41100000000000003	231080	0.799	0.0	4	0.0575	-5.497999999999999	0.0695	150.034	0.377	rock
1497	This Time	0.00598	0.519	211520	0.887	3.47e-05	1	0.32899999999999996	-5.377999999999999	0.0287	95.96700000000001	0.331	rock
1498	Alcoholic	0.35100000000000003	0.406	176000	0.43200000000000005	0.0	9	0.256	-9.488	0.0367	100.95100000000001	0.325	rock
1499	Fidelity	0.57	0.243	142373	0.34299999999999997	0.0	6	0.11599999999999999	-8.786	0.0335	160.455	0.134	rock
1500	Take a Little Time	0.317	0.664	205507	0.696	0.0	4	0.11199999999999999	-8.834	0.0511	104.012	0.773	rock
1501	White Light	0.0048200000000000005	0.419	275733	0.6629999999999999	1.4999999999999999e-05	0	0.132	-4.896	0.0295	106.31700000000001	0.27899999999999997	rock
1502	Tie up My Hands	0.159	0.546	347400	0.428	0.0010199999999999999	8	0.0989	-9.559	0.0241	86.867	0.14300000000000002	rock
1503	Restless Heart	0.934	0.32	121667	0.209	0.0	10	0.146	-11.387	0.0311	97.635	0.273	rock
1504	Sunday Best	0.0604	0.325	323813	0.39	1.98e-05	9	0.0862	-9.3	0.0297	127.58200000000001	0.22899999999999998	rock
1505	Jeremiah	0.892	0.42200000000000004	220387	0.142	3.59e-05	6	0.122	-12.745999999999999	0.0356	99.507	0.2	rock
1506	Way to Fall	0.20199999999999999	0.331	269773	0.36700000000000005	0.000125	2	0.114	-9.595	0.0281	140.33	0.18600000000000003	rock
1507	Neon Sky	0.179	0.318	319027	0.711	0.000722	0	0.10099999999999999	-4.52	0.0296	135.95	0.213	rock
1508	Caught in the Middle	0.0714	0.602	229547	0.7090000000000001	7.74e-05	5	0.14400000000000002	-8.186	0.0451	82.007	0.579	rock
1509	Faith Hope Love	1.39e-05	0.405	168160	0.815	0.11800000000000001	0	0.098	-4.074	0.0285	90.38799999999999	0.34700000000000003	rock
1510	Telling Them	0.0126	0.21100000000000002	291227	0.622	0.000305	0	0.10099999999999999	-6.209	0.0321	150.727	0.43	rock
1511	Blood	0.0314	0.295	290973	0.653	0.00144	11	0.0784	-8.533	0.0331	143.04399999999998	0.382	rock
1512	Hold On	0.0926	0.18	215453	0.741	0.0	11	0.154	-6.747999999999999	0.0563	167.582	0.128	rock
1513	I Don't Know	0.24	0.505	202147	0.595	4.63e-06	11	0.0979	-5.862	0.0324	147.941	0.17300000000000001	rock
1514	Could You Be Mine?	0.7609999999999999	0.541	232347	0.381	0.00278	9	0.113	-10.807	0.0272	122.75299999999999	0.39399999999999996	rock
1515	Break the Cycle	0.096	0.361	198107	0.698	0.0	9	0.17600000000000002	-8.275	0.0449	183.97099999999998	0.27699999999999997	rock
1516	Born Again - Radio Edit	0.013999999999999999	0.368	284787	0.674	0.0	0	0.12	-7.381	0.0254	87.99799999999999	0.369	rock
1517	Counterfeit Life	0.000799	0.489	211747	0.924	0.000541	4	0.256	-4.2	0.04	93.985	0.23399999999999999	rock
1518	Hurts Too Much	0.142	0.469	221480	0.6809999999999999	2.0399999999999998e-05	6	0.354	-4.184	0.0255	85.959	0.47100000000000003	rock
1519	From A Whisper To A Scream	0.812	0.392	238173	0.21899999999999997	1.7800000000000002e-05	1	0.122	-9.995	0.0334	122.03299999999999	0.0552	rock
1520	All The Plans - Radio Edit	0.00355	0.179	184240	0.779	0.0	0	0.295	-4.71	0.0366	80.891	0.539	rock
1521	Grandma's Hands	0.54	0.537	183867	0.42200000000000004	3.75e-05	0	0.113	-12.032	0.0346	86.948	0.607	rock
1522	Stars And Stripes	0.248	0.501	273813	0.6920000000000001	0.0002	6	0.19	-5.037	0.0317	124.649	0.39899999999999997	rock
1523	Push The Button - Live	0.705	0.5770000000000001	155393	0.514	0.0	2	0.0828	-7.216	0.0333	113.15799999999999	0.537	rock
1524	Give Up The Ghost	0.00625	0.21600000000000003	198973	0.835	5.5799999999999994e-05	9	0.106	-5.267	0.10300000000000001	182.174	0.396	rock
1525	Let It Shine	0.509	0.35600000000000004	198200	0.218	0.0	1	0.102	-13.052999999999999	0.0275	80.685	0.2	rock
1526	Boy In Waiting	0.255	0.414	151840	0.532	0.0	2	0.151	-6.597	0.0271	89.165	0.406	rock
1527	She Understands	0.508	0.41100000000000003	213813	0.38	0.0	11	0.15	-7.996	0.0288	112.87	0.113	rock
1528	Keep Us Together	7.49e-05	0.22699999999999998	227173	0.917	0.00144	11	0.155	-5.0489999999999995	0.055	189.56400000000002	0.237	rock
1529	You Never Get What You Deserve	0.341	0.473	256960	0.6659999999999999	0.000333	9	0.327	-4.898	0.0313	90.955	0.316	rock
1530	Feed The Machine	6.97e-06	0.547	302135	0.9620000000000001	0.0016699999999999998	5	0.449	-4.268	0.10400000000000001	136.005	0.381	rock
1531	After The Rain	0.0684	0.536	214649	0.953	0.0	11	0.132	-4.689	0.0365	142.02	0.725	rock
1532	Must Be Nice	0.000128	0.619	222568	0.9159999999999999	0.183	0	0.121	-4.2139999999999995	0.0459	98.008	0.743	rock
1533	Coin For The Ferryman	4.18e-05	0.544	290383	0.9690000000000001	0.00248	11	0.13699999999999998	-4.074	0.05	149.989	0.818	rock
1534	How You Remind Me - LP Mix	0.00135	0.446	223840	0.764	0.0	10	0.099	-5.042	0.033	172.09400000000002	0.5429999999999999	rock
1535	When We Stand Together	0.000102	0.446	190787	0.9	1.89e-05	10	0.0404	-3.5410000000000004	0.0489	187.96099999999998	0.88	rock
1536	Burn It To The Ground	0.00024700000000000004	0.617	212347	0.922	0.38799999999999996	11	0.363	-3.4739999999999998	0.0744	132.059	0.6	rock
1537	Rockstar	0.0459	0.616	252040	0.91	0.0	0	0.34299999999999997	-3.0039999999999996	0.0386	144.07299999999998	0.693	rock
1538	Edge Of A Revolution	0.000105	0.516	243053	0.97	0.0	2	0.09699999999999999	-3.3310000000000004	0.0447	161.941	0.6629999999999999	rock
1539	Lullaby	0.00037200000000000004	0.508	228107	0.8320000000000001	0.0	11	0.0859	-4.395	0.032	136.004	0.40399999999999997	rock
1540	Something In Your Mouth	0.00137	0.6629999999999999	219253	0.977	1.77e-05	0	0.17300000000000001	-3.0239999999999996	0.0575	129.975	0.746	rock
1541	If Today Was Your Last Day	8.669999999999999e-05	0.485	249067	0.9109999999999999	0.0	3	0.092	-5.749	0.0355	89.956	0.568	rock
1542	Never Again	0.00042800000000000005	0.5920000000000001	260827	0.907	2.09e-05	7	0.0681	-3.6510000000000002	0.0541	135.674	0.919	rock
1543	Someday	0.000616	0.455	207467	0.858	0.00024700000000000004	11	0.226	-5.659	0.0391	163.118	0.597	rock
1544	Million Miles An Hour	1.22e-05	0.602	250880	0.885	0.0404	10	0.13	-4.888999999999999	0.0476	115.01799999999999	0.44	rock
1545	Photograph	0.000932	0.513	258920	0.877	0.00016299999999999998	8	0.136	-3.7560000000000002	0.0292	145.91899999999998	0.389	rock
1546	Bottoms Up	0.00024900000000000004	0.667	217427	0.855	0.0479	0	0.0888	-3.088	0.0335	113.99	0.868	rock
1547	Animals	0.000722	0.5720000000000001	186600	0.961	0.021	7	0.207	-3.089	0.0625	76.998	0.818	rock
1548	Gotta Be Somebody	0.000354	0.536	252653	0.89	0.00165	0	0.133	-5.222	0.0601	115.99799999999999	0.205	rock
1549	Dirty Laundry	0.000361	0.618	240704	0.956	6.74e-05	11	0.349	-3.2969999999999997	0.0496	97.993	0.48700000000000004	rock
1550	Savin' Me	0.000731	0.441	219320	0.815	0.0	3	0.414	-4.088	0.0276	164.021	0.522	rock
1551	We Will Rock You	0.0404	0.5770000000000001	119787	0.905	0.0	4	0.0685	-5.018	0.114	80.97399999999999	0.28800000000000003	rock
1552	Too Bad	0.0030399999999999997	0.598	232240	0.8079999999999999	0.0	10	0.147	-5.209	0.0388	128.025	0.28800000000000003	rock
1553	If Everyone Cared	0.000273	0.522	215106	0.8740000000000001	0.00579	6	0.261	-4.3919999999999995	0.0362	132.018	0.196	rock
1554	What Are You Waiting For?	0.0377	0.489	218907	0.914	0.0	3	0.319	-4.154	0.0691	76.016	0.42700000000000005	rock
1555	Figured You Out	2.6300000000000002e-05	0.544	228480	0.867	0.0165	10	0.266	-5.527	0.0517	93.925	0.726	rock
1556	I'd Come For You	0.033	0.489	262627	0.748	0.0	2	0.14400000000000002	-5.4879999999999995	0.0311	147.998	0.385	rock
1557	Far Away	0.000696	0.518	238173	0.797	0.0	6	0.107	-5.153	0.0309	132.915	0.293	rock
1558	This Afternoon	0.00257	0.507	273493	0.875	0.0	7	0.34600000000000003	-7.697	0.0389	160.079	0.647	rock
1559	Side Of A Bullet	0.000308	0.644	180560	0.946	0.0969	4	0.0226	-2.4859999999999998	0.0669	132.97299999999998	0.85	rock
1560	Shakin' Hands	0.000654	0.649	219840	0.958	9.449999999999999e-05	0	0.319	-2.9989999999999997	0.0509	138.039	0.845	rock
1561	Leader of Men	0.00257	0.495	210840	0.696	1.17e-05	9	0.113	-5.888999999999999	0.0422	103.32700000000001	0.21899999999999997	rock
1562	This Means War	3.74e-05	0.5589999999999999	200667	0.9670000000000001	0.276	10	0.32799999999999996	-3.157	0.0777	133.99200000000002	0.8059999999999999	rock
1563	Never Gonna Be Alone	0.00155	0.544	227027	0.802	7.340000000000001e-05	4	0.122	-4.152	0.0282	130.02200000000002	0.59	rock
1564	Trying Not To Love You	0.0132	0.473	251880	0.924	0.0	11	0.184	-4.297	0.0446	160.017	0.41	rock
1565	Bitter Sweet Symphony	0.0335	0.35600000000000004	357267	0.917	0.0	9	0.406	-6.006	0.0479	171.176	0.518	rock
1566	Lucky Man	0.273	0.39399999999999996	293587	0.629	8.65e-05	2	0.0902	-7.584	0.0292	75.991	0.18100000000000002	rock
1567	History - Remastered 2016	0.105	0.33799999999999997	326093	0.638	0.0	2	0.102	-7.989	0.0332	133.99	0.113	rock
1568	Love Is Noise	0.000484	0.419	327748	0.863	0.0	7	0.38799999999999996	-4.155	0.0412	123.009	0.314	rock
1569	Sonnet	0.12	0.433	261360	0.725	4.34e-05	0	0.225	-7.296	0.0244	89.059	0.376	rock
1570	The Drugs Don't Work	0.17600000000000002	0.445	304880	0.523	0.0	0	0.135	-8.647	0.0267	77.405	0.19399999999999998	rock
1571	Life's An Ocean - Remastered 2016	0.0391	0.371	341240	0.575	0.007490000000000001	9	0.0899	-10.208	0.172	166.86900000000003	0.41700000000000004	rock
1572	On Your Own - Remastered 2016	0.359	0.447	213733	0.711	2.81e-06	4	0.247	-7.291	0.0237	86.21700000000001	0.379	rock
1573	Already There - 2016 Remastered	0.287	0.287	338093	0.252	0.485	4	0.0753	-11.408	0.0274	84.12700000000001	0.0437	rock
1574	Space And Time	0.0445	0.214	336640	0.7140000000000001	0.00561	2	0.15	-8.752	0.0369	165.338	0.34600000000000003	rock
1575	Appalachian Springs	0.124	0.26899999999999996	451635	0.569	0.00471	11	0.0801	-8.082	0.0414	142.79399999999998	0.192	rock
1576	I See The Door - 2016 Remastered	0.00425	0.499	320747	0.7190000000000001	0.00132	4	0.0701	-7.992999999999999	0.0253	151.934	0.5579999999999999	rock
1577	A New Decade - Remastered 2016	0.059000000000000004	0.29100000000000004	253133	0.805	8.88e-06	9	0.13	-6.86	0.0602	126.729	0.19	rock
1578	The Rolling People	0.0159	0.19699999999999998	421893	0.9390000000000001	0.0011099999999999999	7	0.368	-6.811	0.0912	166.558	0.429	rock
1579	Rather Be	0.0118	0.439	337019	0.6759999999999999	2.58e-06	9	0.0703	-5.553	0.0259	81.736	0.5489999999999999	rock
1580	Slide Away - 2016 Remastered	0.017	0.306	243453	0.635	0.32299999999999995	2	0.0769	-7.566	0.032	150.1	0.221	rock
1581	This Is Music - Remastered 2016	0.000143	0.273	215867	0.8809999999999999	0.0	11	0.153	-5.537999999999999	0.0491	141.08700000000002	0.301	rock
1582	Weeping Willow	0.0117	0.326	289907	0.73	0.000642	4	0.0594	-6.7989999999999995	0.0301	152.099	0.425	rock
1583	Sit And Wonder	4.15e-05	0.3	411771	0.899	3.9200000000000004e-05	6	0.6759999999999999	-5.061	0.0514	96.794	0.344	rock
1584	Virtual World - 2016 Remastered	0.37200000000000005	0.396	377160	0.42	0.14800000000000002	0	0.263	-11.245999999999999	0.0278	136.158	0.239	rock
1585	So It Goes - Remastered 2016	0.00945	0.39799999999999996	371240	0.635	0.000594	0	0.0865	-7.4270000000000005	0.0306	123.462	0.34600000000000003	rock
1586	Velvet Morning	0.106	0.43700000000000006	297587	0.551	0.0996	9	0.10099999999999999	-7.504	0.0261	87.059	0.182	rock
1587	She's A Superstar - 2004 Digital Remaster	0.0304	0.19699999999999998	304280	0.495	0.831	9	0.0862	-8.397	0.0347	149.997	0.0913	rock
1588	Beautiful Mind - 2016 Remastered	0.183	0.28600000000000003	328373	0.49700000000000005	0.74	11	0.11599999999999999	-10.112	0.0307	78.222	0.11699999999999999	rock
1589	A Northern Soul - Remastered 2016	0.0954	0.38299999999999995	392840	0.935	0.0	1	0.204	-4.649	0.0578	122.553	0.43799999999999994	rock
1590	A Man Called Sun	0.547	0.348	343733	0.395	0.8290000000000001	4	0.342	-17.095	0.0311	112.86200000000001	0.518	rock
1591	All In The Mind - 2004 Digital Remaster	0.182	0.253	257133	0.733	5.14e-05	7	0.0658	-6.983	0.045	119.75399999999999	0.305	rock
1592	The Sun The Sea - 2016 Remastered	0.0029	0.242	316240	0.588	0.0997	7	0.18600000000000003	-6.716	0.0345	167.673	0.111	rock
1593	Judas	0.0585	0.43	377474	0.72	0.0333	7	0.115	-7.566	0.0346	115.33200000000001	0.332	rock
1594	Gravity Grave - Edit	0.469	0.325	269267	0.563	0.8029999999999999	4	0.0848	-15.423	0.0329	174.00599999999997	0.65	rock
1595	This Could Be My Moment - Remastered 2004	0.00315	0.43200000000000005	239600	0.892	1.24e-05	4	0.305	-4.895	0.0394	96.025	0.397	rock
1596	Star Sail - 2016 Remastered	0.0027	0.213	240013	0.784	0.583	2	0.193	-7.722	0.0432	158.319	0.28600000000000003	rock
1597	All Night Long	0.0738	0.282	445694	0.584	0.293	2	0.35100000000000003	-8.054	0.0318	77.78399999999999	0.155	rock
1598	Never Wanna See You Cry	0.0799	0.248	272933	0.526	0.000354	0	0.14300000000000002	-9.36	0.0306	171.75	0.308	rock
1599	Blue - 2004 Digital Remaster	0.000495	0.28300000000000003	219280	0.93	0.00247	4	0.0837	-6.525	0.102	168.234	0.245	rock
1600	So Sister	0.385	0.504	251733	0.429	0.0	4	0.16	-9.311	0.0238	78.249	0.379	rock
1601	See You In The Next One (Have A Good Time) - 2016 Remastered	0.289	0.395	188560	0.32	0.0482	0	0.147	-13.088	0.0327	143.8	0.287	rock
1602	Valium Skies	8.159999999999999e-05	0.345	274276	0.762	0.00227	9	0.0847	-6.106	0.0338	147.745	0.278	rock
1603	Lord I Guess I'll Never Know	0.26	0.527	291893	0.426	0.00031099999999999997	4	0.0916	-11.030999999999999	0.0257	146.046	0.58	rock
1604	Feel	0.235	0.519	641333	0.33899999999999997	0.8690000000000001	9	0.166	-18.573	0.0302	150.207	0.33899999999999997	rock
1605	Monte Carlo	0.00398	0.409	298400	0.873	0.27699999999999997	0	0.228	-8.091000000000001	0.0336	156.69799999999998	0.7390000000000001	rock
1606	The Crab	0.6729999999999999	0.389	337560	0.305	0.0162	4	0.12300000000000001	-10.597000000000001	0.0248	149.34799999999998	0.207	rock
1607	The Longest Day	0.145	0.331	443400	0.7979999999999999	0.0344	9	0.10099999999999999	-10.113999999999999	0.0515	167.926	0.5589999999999999	rock
1608	Endless Life	0.40399999999999997	0.149	332693	0.23399999999999999	0.94	4	0.0785	-17.805	0.0364	140.968	0.0723	rock
1609	Three Steps	0.0187	0.353	303093	0.965	0.221	4	0.0833	-9.052999999999999	0.0624	90.60700000000001	0.758	rock
1610	Major Force	4.74e-06	0.22699999999999998	352119	0.9	0.884	11	0.132	-5.902	0.0997	159.303	0.49200000000000005	rock
1611	Country Song	0.221	0.382	470707	0.645	0.0558	7	0.242	-9.138	0.0334	119.87	0.467	rock
1612	Stamped	0.000942	0.261	331733	0.64	0.77	2	0.27399999999999997	-8.65	0.0366	87.47200000000001	0.0685	rock
1613	Big Girls Don't Cry (Personal)	0.239	0.712	268120	0.647	0.0	7	0.0955	-4.277	0.0336	113.116	0.292	pop
1614	A Little Party Never Killed Nobody (All We Got)	0.0107	0.764	241307	0.62	5.13e-06	5	0.0968	-5.757	0.184	129.989	0.526	pop
1615	M.I.L.F. $	0.00538	0.773	162365	0.706	0.0148	0	0.0208	-5.709	0.0999	160.912	0.693	pop
1616	Gettin' Over You (feat. Fergie & LMFAO)	0.149	0.62	187427	0.87	0.0	10	0.0705	-6.52	0.0868	130.079	0.513	pop
1617	Fergalicious	0.0568	0.904	292373	0.598	0.0	8	0.111	-7.651	0.337	129.055	0.785	pop
1618	You Already Know (feat. Nicki Minaj)	0.167	0.883	248496	0.472	0.0	5	0.156	-6.461	0.228	113.071	0.253	pop
1619	L.A.LOVE (la la) [feat. YG]	0.0186	0.509	211512	0.482	0.0	7	0.238	-6.965	0.176	101.042	0.301	pop
1620	Quando Quando Quando	0.424	0.639	195467	0.542	0.000208	4	0.0542	-8.163	0.0409	109.995	0.729	pop
1621	Glamorous	0.32	0.81	246573	0.748	0.0	0	0.0951	-6.464	0.211	130.983	0.669	pop
1622	Barracuda	0.00157	0.515	278733	0.964	0.000201	0	0.185	-4.666	0.237	136.114	0.245	pop
1623	Enchanté (Carine) [feat. Axl Jack]	0.231	0.805	267253	0.712	0.000107	5	0.308	-7.85	0.0785	114.017	0.525	pop
1624	True - Non-LP Version	0.00803	0.827	226760	0.7	4.34e-06	0	0.437	-4.548	0.0389	105.009	0.345	pop
1625	London Bridge	0.214	0.748	241307	0.63	0.0	1	0.204	-5.832	0.381	90.889	0.61	pop
1626	Love Song to the Earth	0.032	0.377	231679	0.629	0.0	6	0.0777	-7.243	0.0341	140.044	0.14	pop
1627	Tension	0.0388	0.899	203643	0.545	3.27e-05	9	0.172	-6.191	0.0726	109.957	0.832	pop
1628	Labels Or Love	0.0623	0.802	231547	0.939	0.0	8	0.299	-6.576	0.0857	131.994	0.891	pop
1629	Clumsy	0.196	0.728	240427	0.582	0.000632	2	0.304	-4.141	0.158	184.045	0.417	pop
1630	Party People - Dirty Version	0.355	0.655	238573	0.848	0.0	1	0.642	-3.969	0.331	163.92	0.639	pop
1631	Hungry (feat. Rick Ross)	0.0261	0.688	203898	0.698	4.31e-06	1	0.254	-5.983	0.0687	116.545	0.16	pop
1632	Beat It 2008 (with Fergie) - Thriller 25th Anniversary Remix feat. Fergie	0.00597	0.829	251187	0.683	0.0	10	0.185	-6.037	0.0576	138.013	0.633	pop
1633	Here I Come	0.116	0.806	201000	0.684	1.32e-06	7	0.131	-5.46	0.125	119.902	0.684	pop
1634	Be Italian	0.247	0.337	251880	0.416	0.0	0	0.454	-8.633	0.0488	71.71	0.484	pop
1635	Life Goes On	0.0632	0.6	266047	0.731	0.0	7	0.616	-4.989	0.24	92.869	0.488	pop
1636	Netflix	0.0375	0.842	235427	0.657	0.0	5	0.281	-5.397	0.138	124.129	0.691	pop
1637	Beautiful Dangerous	0.00455	0.522	278547	0.829	0.0	9	0.205	-5.224	0.0366	98.129	0.571	pop
1638	Feel Alive - Revolution Remix	0.0405	0.627	247080	0.932	2.91e-05	0	0.786	-3.556	0.113	128.01	0.358	pop
1639	Keep Bouncin' (Street) - (Snoop Intro)	0.0243	0.798	249280	0.65	0.0	2	0.155	-7.488	0.24	105.013	0.633	pop
1640	Bailamos - Original Score - Poseidon	0.0413	0.797	190160	0.561	2.82e-06	1	0.184	-10.18	0.0582	99.999	0.705	pop
1641	PERSONAL (BIG GIRLS REMIX FEATURING SEAN KINGSTON)	0.205	0.75	233893	0.581	0.0	7	0.166	-9.325	0.0485	112.926	0.695	pop
1642	L.O.V.E. (Let One Voice Emerge) [feat. Patti Austin, Shiela E, Siedah Garrett, Lalah Hathaway, Judith Hill & Keke Palmer]	0.00729	0.624	255055	0.524	0.0	0	0.122	-7.229	0.0261	96.02	0.336	pop
1643	Mash Out	0.379	0.648	189133	0.5	0.0	1	0.128	-7.392	0.481	98.744	0.922	pop
1644	Won't Let You Fall - Original Score - Poseidon	0.268	0.588	276467	0.368	0.0	7	0.177	-10.349	0.0345	117.396	0.145	pop
1645	Gimme Shelter (with Mick Jagger, Fergie, and will.i.am)	0.023	0.537	300773	0.939	0.00629	1	0.82	-5.331	0.076	118.078	0.316	pop
1646	The Look Of Love	0.632	0.822	239413	0.65	5.27e-05	5	0.26	-11.163	0.134	130.02	0.685	pop
1647	Gettin' Over You (feat. Fergie & LMFAO) ]Thomas Gold Remix] - Thomas Gold Remix	0.0206	0.665	395240	0.79	0.0411	5	0.118	-7.424	0.0356	128.978	0.123	pop
1648	Paradise City - Feat. Fergie And Cypress Hill	0.00242	0.527	314360	0.834	1.51e-06	7	0.25	-4.894	0.0448	91.816	0.633	pop
1649	Paradise	0.419	0.757	247710	0.703	1.23e-05	8	0.124	-5.415	0.156	100.97	0.539	pop
1650	Glad You're Here	0.0539	0.564	174973	0.668	0.0	0	0.317	-4.988	0.0405	160.024	0.721	pop
1651	Billie Jean	0.0236	0.92	293827	0.654	0.0158	11	0.0359	-3.051	0.0401	117.046	0.847	pop
1652	Smooth Criminal - 2012 Remaster	0.247	0.853	257760	0.981	0.468	8	0.306	-3.947	0.0751	118.193	0.595	pop
1653	Beat It - Single Version	0.0491	0.779	258040	0.867	7.98e-06	3	0.197	-3.704	0.0457	138.858	0.915	pop
1654	The Way You Make Me Feel - 2012 Remaster	0.0544	0.877	298120	0.854	5.5e-05	1	0.144	-4.523	0.147	114.472	0.54	pop
1655	Thriller	0.0816	0.764	358053	0.887	0.000108	11	0.847	-3.725	0.0738	118.421	0.721	pop
1656	Don't Stop 'Til You Get Enough - Single Version	0.126	0.878	365467	0.821	0.0461	11	0.183	-9.875	0.089	118.881	0.947	pop
1657	Dirty Diana - 2012 Remaster	0.178	0.734	280947	0.801	0.000401	3	0.324	-4.525	0.0437	131.424	0.331	pop
1658	Man in the Mirror - 2012 Remaster	0.52	0.808	318680	0.812	7.91e-05	8	0.134	-5.012	0.0381	100.331	0.269	pop
1659	P.Y.T. (Pretty Young Thing)	0.23	0.888	238733	0.815	0.000424	11	0.127	-4.909	0.0404	127.273	0.961	pop
1660	Rock with You - Single Version	0.179	0.808	220627	0.535	9.91e-05	1	0.158	-12.521	0.0353	114.031	0.848	pop
1661	Black or White	0.172	0.518	254933	0.9	0.0315	9	0.0713	-3.748	0.0933	115.029	0.872	pop
1662	Remember the Time	0.153	0.831	239227	0.921	0.00213	5	0.305	-2.383	0.0581	108.002	0.794	pop
1663	Bad - 2012 Remaster	0.00462	0.787	247360	0.889	0.423	8	0.0665	-3.786	0.0397	114.091	0.394	pop
1664	They Don't Care About Us	0.205	0.859	284160	0.905	0.00825	0	0.322	-5.539	0.129	89.945	0.73	pop
1665	Scream	0.0981	0.782	277960	0.965	1.09e-05	0	0.251	-3.894	0.115	106.529	0.546	pop
1666	This Place Hotel (a.k.a. Heartbreak Hotel)	0.243	0.731	343413	0.851	0.000142	4	0.117	-4.085	0.103	97.005	0.582	pop
1667	Somebody's Watching Me - Single Version	0.0409	0.767	237760	0.712	8.08e-05	1	0.132	-4.128	0.0324	124.091	0.804	pop
1668	Torture	0.0179	0.754	293120	0.836	2.53e-06	8	0.35	-4.703	0.0425	131.131	0.965	pop
1669	Wanna Be Startin' Somethin'	0.0219	0.846	362373	0.922	0.355	6	0.0623	-4.206	0.0438	122.195	0.899	pop
1670	You Rock My World	0.038	0.854	337733	0.673	0.000227	4	0.255	-3.132	0.185	95.0	0.955	pop
1671	Human Nature	0.541	0.624	245560	0.512	0.00478	2	0.26	-10.041	0.0297	93.059	0.685	pop
1672	Heal the World	0.537	0.534	384307	0.485	1.79e-06	9	0.104	-8.045	0.0467	80.923	0.102	pop
1673	I'll Be There	0.593	0.51	237760	0.515	1.24e-06	5	0.654	-7.247	0.0253	93.212	0.331	pop
1674	I Want You Back	0.423	0.65	181027	0.511	0.0337	8	0.273	-10.814	0.0319	98.297	0.949	pop
1675	ABC	0.448	0.559	179973	0.752	0.00061	8	0.0907	-10.046	0.0581	187.712	0.946	pop
1676	The Love You Save	0.434	0.748	186093	0.717	0.0	0	0.129	-10.084	0.0384	113.394	0.943	pop
1677	Who's Loving You	0.75	0.369	240240	0.35	0.000105	7	0.138	-9.425	0.0315	82.136	0.398	pop
1678	Never Can Say Goodbye - Single Version	0.285	0.517	180867	0.808	0.0	2	0.256	-7.952	0.0417	166.772	0.9	pop
1679	Dancing Machine	0.133	0.776	161813	0.794	2.35e-05	6	0.689	-7.722	0.0723	109.277	0.845	pop
1680	All I Do Is Think Of You	0.571	0.545	192813	0.642	3.44e-06	8	0.0881	-6.535	0.0379	121.654	0.511	pop
1681	Enjoy Yourself	0.101	0.618	201467	0.706	2.57e-05	9	0.394	-6.391	0.197	204.178	0.776	pop
1682	Blame It on the Boogie	0.0698	0.76	210533	0.76	0.0	8	0.105	-6.781	0.0893	113.338	0.868	pop
